,eps,clusters,ch
0,5.1,152,580.3889218156022
1,5.199999999999999,145,578.8718359692099
2,5.299999999999999,134,618.934194568864
3,5.399999999999999,122,403.3626341209835
4,5.499999999999998,115,412.1279062207633
5,5.599999999999998,110,422.0451259088414
6,5.6999999999999975,101,449.22232072801205
7,5.799999999999997,93,225.22705538365992
8,5.899999999999997,81,230.96336513489175
9,5.9999999999999964,74,216.6157239601693
10,6.099999999999996,68,203.21037553699628
11,6.199999999999996,63,213.3225834092652
12,6.299999999999995,58,221.41438743714176
13,6.399999999999995,53,237.8039480760406
14,6.499999999999995,49,233.07574466103674
15,6.599999999999994,46,246.78739717522663
16,6.699999999999994,42,255.0754494179597
17,6.799999999999994,40,266.7160559977749
18,6.899999999999993,36,279.4364451095649
19,6.999999999999993,32,279.3448951362763
20,7.0999999999999925,31,286.92019883063136
21,7.199999999999992,31,286.7859538602349
22,7.299999999999992,31,281.8880257139153
23,7.3999999999999915,30,288.35383098990854
24,7.499999999999991,27,262.9190185945225
25,7.599999999999991,26,268.8738799198214
26,7.69999999999999,23,286.54780760530093
27,7.79999999999999,22,293.1218782997522
28,7.89999999999999,20,250.4472927360069
29,7.999999999999989,19,263.1215064072167
30,8.099999999999989,16,255.82069561407616
31,8.199999999999989,15,271.6279832629075
32,8.299999999999988,13,306.8747368563164
33,8.399999999999988,12,325.9967299752699
34,8.499999999999988,10,270.1760303024158
35,8.599999999999987,10,269.92428991286744
36,8.699999999999987,9,299.6868611387888
37,8.799999999999986,7,377.3208699105497
38,8.899999999999986,7,377.5472598831319
39,8.999999999999986,7,377.3042057253446
40,9.099999999999985,7,377.34257721105615
41,9.199999999999985,7,377.78438294072976
42,9.299999999999985,7,377.6628922346621
43,9.399999999999984,6,437.69516780343554
44,9.499999999999984,6,437.69516780343554
45,9.599999999999984,6,439.18812069584686
46,9.699999999999983,5,509.313515883221
47,9.799999999999983,4,449.47982258609227
48,9.899999999999983,4,449.356335687691
49,9.999999999999982,4,449.4362654501898
50,10.099999999999982,4,449.4362654501898
51,10.199999999999982,3,518.9075013254179
52,10.299999999999981,2,411.9927557891715
53,10.39999999999998,2,412.2100675086779
