,eps,clusters,silhouette
0,5.2,145,-0.14931165390048037
1,5.3,134,-0.14907214739527794
2,5.4,122,-0.20848031016843654
3,5.5,115,-0.2126122473462672
4,5.6,110,-0.20930179869967264
5,5.7,101,-0.20846252135926116
6,5.8,93,-0.26113324342721683
7,5.9,81,-0.2655489052425844
8,6.0,74,-0.28388364931604804
9,6.2,63,-0.2967468913175246
10,6.4,53,-0.28829302033181414
11,6.7,42,-0.293964250774116
12,7.0,32,-0.28209540888463586
13,7.8,22,-0.24472057041756215
14,8.4,12,-0.17032064571653965
15,9.7,5,0.06013365566533719
16,10.3,2,0.08327193261447427
