,clusters,vi,silhouette,dbi,ch
0,212,-1.0,0.2126617469082856,1.5954564599175656,2401.606617442128
1,154,2.993577163116237,0.2221129970982923,1.575827264789564,2379.2223744104813
2,4,4.696457181232237,0.1778503312684675,1.3896507710697807,8587.141015218474
3,13,3.048528100241932,0.1425834960197342,1.918014148238887,10174.297711886344
4,17,1.9126444667336155,0.1471837741943822,1.874464302043404,8097.085962134969
5,18,1.8509772135641305,0.1433962405654563,1.7987686684777984,7577.714267968375
6,18,2.28119309763342,0.2307439126821231,1.510916160881126,9410.307215913095
7,11,2.3303237062224653,0.1849648673933968,1.6206460121388735,8444.870251004928
8,5,1.8073870265715464,0.187830058145782,1.4995011404499212,9813.610792576834
9,6,0.5039926242209671,0.1902800386868461,1.3556446644188294,8206.034401330913
10,4,0.8958429816800522,0.1986925659573323,1.1751534277254103,4359.794684562839
